Pinyin,Wade-Giles,Romatzyh
shizai,shihtsai,shyrtzay
shiwu,shihwu,shyrwuh
shiyong,shihyung,shyyyonq
shi,shih,shyh
shizhang,shihchang,shyhjaang
shiqing,shihqing,shyhqing
shou,shou,shou
shoudao,shoutao,shoudaw
shouru,shouju,shouruh
shoubiao,shoupiao,shooubeau
shoudao,shoutao,showdaw
shufu,shufu,shufu
shu,shu,shwu
shu,shu,shuu
shuzi,shutzu,shuhtzyh
shuiping,shuiping,shoeipyng
shunli,shunli,shuennlih
shuoming,shuoming,shuoming
siji,ssuchi,syji
songdao,sungtao,sonqdaw
songgei,sungkei,sonqgeei
suan,suan,suann
suiran,suijan,sueiran
suibian,suipien,sweibiann
suishi,suishih,sweishyr
suoyi,soi,suooyii
suoyou,soyu,suooyeou
ta,ta,ta
tamen,tamen,tamen
taitai,taitai,taytai
taidu,taidu,taydu
taolun,taolun,taoluenn
tao,tao,taw
tebie,tepieh,tehbye
tedian,tetien,tehdean
teng,teng,terng
ti,ti,tyi
tichu,tichu,tyichu
tidao,titao,tyidaw
tigao,tikao,tyigau
ti,ti,tyi
tiyu,tiyu,tiiyuh
tiyuchang,tiyuchang,tiiyuhchaang
tiyuguan,tiyukuan,tiiyuhgoan
tianshang,tienshang,tianshanq
tiao,tiao,tyau
tiaojian,tiaochien,tyaujiann
tingjiang,tingchiang,tingjeang
tingshuo,tingshuo,tingshuo
ting,ting,tyng
tingche,tingche,tyngche
tingchechang,tingchechang,tyngchechaang
ting,ting,tiing
tinghao,tinghao,tiinghao
tong,tung,tong
tongguo,tungkuo,tongguoh
tongzhi,tungchih,tongjy
tongshi,tungshih,torngshyr
tongshi,tungshih,torngshyh
tongyang,tungyang,torngyanq
tou,tou,tour
tou,tou,tour
toufa,toufa,tourfa
tupian,tupien,twupiann
tui,tui,tuei
tui,tui,toei
waidi,waiti,waydih
waimai,waimai,waymay
wan,wan,wan
wancheng,wancheng,wancherng
wanquan,wanchuan,wanchyuan
wanan,wanan,woanan
wanbao,wanpao,woanbaw
wancan,wantsan,woantsan
wanhui,wanhui,woanhuey
wan,wan,woan
wang,wang,woang
wangqiu,wangchiu,woangchyou
wangzhan,wangchan,woangjann
wang,wang,woang
wei,wei,wey
weishenme,weishenme,weyshernme
wei,wei,wey
wei,wei,wey
wendu,wentu,uenduh
wen,wen,wen
wenlu,wenlu,wennluh
wenti,wenti,wenntyi
wucan,wutsan,wuutsan
wushui,wushui,wuushuey
xibei,hsipei,shibeei
xican,hsitsan,shitsan
xifang,hsifang,shifang
xinan,hsinan,shinan
xiyi,hsii,shii
xiguan,hsikuan,shyiguann
xiyiji,hsiichi,shiiiji
xizao,hsitsao,shiitzao
xia,hsia,shiah
xiaxue,hsiahsueh,shiahsheue
xiazhou,hsiachou,shiahjou
xiatian,hsiatien,shiahtian
xiangtong,hsiangtung,shiangtorng
xiangxin,hsianghsin,shiangshinn
xiang,hsiang,sheang
xiangdao,hsiangtao,sheangdaw
xiangfa,hsiangfa,sheangfaa
xiangqi,hsiangchi,sheangchii
xiang,hsiang,shianq
xiangji,hsiangchi,shianqji
xiang,hsiang,shianq
xiao,hsiao,sheau
xiaosheng,hsiaosheng,sheausheng
xiaoshihou,hsiaoshihhou,sheaushyrhou
xiaoshuo,hsiaoshuo,sheaushuo
xiaoxin,hsiaohsin,sheaushin
xiaozu,hsiaotsu,sheautzuu
xiaoyuan,hsiaoyuan,shiawyuan
xiaozhang,hsiaochang,shiawjaang
xiaohua,hsiaohua,shiawhua
xie,hsieh,shye
xinli,hsinli,shinlii
xinqing,hsinching,shinchyng
xinzhong,hsinchung,shinjong
xinwen,hsinwen,shinwen
xin,hsin,shinn
xinhao,hsinhao,shinnhaw
xinxi,hsinhsi,shinnshi
xinxin,hsinhsin,shinnshin
xinyongka,hsinyungka,shinnyonqkaa
xingxing,hsingxing,shingxing
xingdong,hsingtung,shyngdonq
xingren,hsingjen,shyngren
xingwei,hsingwei,shyngwei
xing,hsing,shinq
xingming,hsingming,shinqming
xiujia,hsiuchia,shioujiah
xuduo,hsuto,sheuduo
xuan,hsuan,sheuan
xueqi,hsuehchi,shyuechi
