Chinese,Pinyin,Wade-Giles,Romatzyh
成为,chéngwéi,ch'eng² wei²,cherng wei
重复,chóngfù,ch'ung² fu⁴,chorng fuh
重新,chóngxīn,ch'ung² hsin¹,chorng shin
出发,chūfā,ch'u¹ fa¹,chu fa
出国,chū guó,ch'u¹ kuo²,chu gwo
出口,chū kǒu,ch'u¹ k'ou³,chu koou
出门,chū mén,ch'u¹ men²,chu men
出生,chūshēng,ch'u¹ sheng¹,chu sheng
出现,chūxiàn,ch'u¹ hsien⁴,chu shiann
出院,chū yuàn,ch'u¹ yüan⁴,chu yuann
出租,chū zū,ch'u¹ tsu¹,chu tzu
出租车,chūzūchē,ch'u¹ tsu¹ ch'e¹,chu tzu che
船,chuán,ch'uan²,chwan
吹,chuī,ch'ui¹,chuei
春节,chūn jié,ch'un¹ chieh²,chuen jye
春天,chūn tiān,ch'un¹ t'ien¹,chuen tian
词,cí,tz'u²,tsyr
词典,cídiǎn,tz'u² tien³,tsyr dean
词语,cíyǔ,tz'u² yü³,tsyr yeu
从小,cóng xiǎo,ts'ung² hsiao³,tsorng sheau
答应,dāying,ta¹ ying,da ying
打工,dǎgōng,ta³ kung¹,daa gong
打算,dǎsuàn,ta³ suan⁴,daa suann
打印,dǎyìn,ta³ yin⁴,daa yinn
大大,dà dà,ta⁴ ta⁴,dah dah
大多数,dà duō shù,ta⁴ to¹ shu⁴,dah duo shuh
大海,dà hǎi,ta⁴ hai³,dah hae
大家,dàjiā,ta⁴ chia¹,dah jia
大量,dà liàng,ta⁴ liang⁴,dah lianq
大门,dà mén,ta⁴ men²,dah men
大声,dà shēng,ta⁴ sheng¹,dah sheng
大小,dà xiǎo,ta⁴ hsiao³,dah sheau
大衣,dà yī,ta⁴ i¹,dah i
大自然,dà zì rán,ta⁴ tzu⁴ jan²,dah tzyh ran
带,dài,tai⁴,day
带来,dài lái,tai⁴ lai²,day lai
单位,dānwèi,tan¹ wei⁴,dan wey
但,dàn,tan⁴,dann
但是,dàn shì,tan⁴ shih⁴,dann shyh
蛋,dàn,tan⁴,dann
当,dāng,tang¹,dang
当时,dāngshí,tang¹ shih²,dang shyr
倒,dǎo,tao³,dao
到处,dàochù,tao⁴ ch'u⁴,daw chuh
倒,dào,tao⁴,daw
道,dào,tao⁴,daw
道路,dào lù,tao⁴ lu⁴,daw luh
得,dé,te²,der
得出,dé chū,te² ch'u¹,der chu
的话,de huà,de hua⁴,de huah
得,de,de,de
灯,dēng,teng¹,deng
等,děng,teng³,deeng
等到,děng dào,teng³ tao⁴,deeng daw
等于,děngyú,teng³ yü²,deeng yu
低,dī,ti¹,di
地球,dìqiú,ti⁴ ch'iu²,dih chyou
地铁,dìtiě,ti⁴ t'ieh³,dih tiee
地铁站,dì tiě zhàn,ti⁴ t'ieh³ chan⁴,dih tiee jann
点头,diǎn tóu,tien³ t'ou²,dean tour
店,diàn,tien⁴,diann
掉,diào,tiao⁴,diaw
东北,dōng běi,tung¹ pei³,dong beei
东方,dōng fāng,tung¹ fang¹,dong fang
东南,dōng nán,tung¹ nan²,dong nan
冬天,dōng tiān,tung¹ t'ien¹,dong tian
懂,dǒng,tung³,doong
懂得,dǒng de,tung³ de,doong de
动物,dòngwù,tung⁴ wu⁴,donq wuh
动物园,dòng wù yuán,tung⁴ wu⁴ yüan²,donq wuh yuan
读音,dú yīn,tu² yin¹,dwu in
度,dù,tu⁴,duh
短,duǎn,tuan³,doan
短信,duǎnxìn,tuan³ hsin⁴,doan shinn
段,duàn,tuan⁴,duann
队,duì,tui⁴,duey
队长,duì zhǎng,tui⁴ chang³,duey jaang
对,duì,tui⁴,duey
对话,duìhuà,tui⁴ hua⁴,duey huah
对面,duìmiàn,tui⁴ mien⁴,duey miann
多,duō,to¹,duo
多久,duō jiǔ,to¹ chiu³,duo jeou
多么,duōme,to¹ me,duo me
多数,duō shù,to¹ shu⁴,duo shuh
多云,duō yún,to¹ yün²,duo yun
而且,ér qiě,erh² ch'ieh³,erl chiee
发,fā,fa¹,fa
发现,fāxiàn,fa¹ hsien⁴,fa shiann
饭馆,fàn guǎn,fan⁴ kuan³,fann goan
方便,fāngbiàn,fang¹ pien⁴,fang biann
方便面,fāng biàn miàn,fang¹ pien⁴ mien⁴,fang biann miann
方法,fāngfǎ,fang¹ fa³,fang faa
方面,fāngmiàn,fang¹ mien⁴,fang miann
方向,fāngxiàng,fang¹ hsiang⁴,fang shianq
放下,fàng xià,fang⁴ hsia⁴,fanq shiah
放心,fàngxīn,fang⁴ hsin¹,fanq shin
分,fēn,fen¹,fen
分开,fēn kāi,fen¹ k'ai¹,fen kai
分数,fēn shù,fen¹ shu⁴,fen shuh
分钟,fēnzhōng,fen¹ chung¹,fen jong
份,fèn,fen⁴,fenn
封,fēng,feng¹,feng
服务,fú wù,fu² wu⁴,fwu wuh
复习,fùxí,fu⁴ hsi²,fuh shyi
该,gāi,kai¹,gai
改,gǎi,kai³,gae
改变,gǎibiàn,kai³ pien⁴,gae biann
干杯,gānbēi,kan¹ pei¹,gan bei
感到,gǎn dào,kan³ tao⁴,gaan daw
感动,gǎndòng,kan³ tung⁴,gaan donq
感觉,gǎnjué,kan³ chüeh²,gaan jyue
感谢,gǎnxiè,kan³ hsieh⁴,gaan shieh
干活儿,gànhuór,kan⁴ huo² r,gann hwo r
刚,gāng,kang¹,gang
刚才,gāngcái,kang¹ ts'ai²,gang tsair
高级,gāojí,kao¹ chi²,gau jyi
高中,gāo zhōng,kao¹ chung¹,gau jong
个子,gèzi,ko⁴ zi,geh zi
公共汽车,gōnggòngqìchē,kung¹ kung⁴ ch'i⁴ ch'e¹,gong gonq chih che
公交车,gōng jiāo chē,kung¹ chiao¹ ch'e¹,gong jiau che
公斤,gōngjīn,kung¹ chin¹,gong jin
公里,gōnglǐ,kung¹ li³,gong lii
公路,gōng lù,kung¹ lu⁴,gong luh
公平,gōngpíng,kung¹ p'ing²,gong pyng
公司,gōngsī,kung¹ ssu¹,gong sy
公园,gōngyuán,kung¹ yüan²,gong yuan
狗,gǒu,kou³,goou
够,gòu,kou⁴,gow
故意,gùyì,ku⁴ i⁴,guh yih
顾客,gùkè,ku⁴ k'o⁴,guh keh
关机,guān jī,kuan¹ chi¹,guan ji
关心,guānxīn,kuan¹ hsin¹,guan shin
观点,guāndiǎn,kuan¹ tien³,guan dean
广场,guǎngchǎng,kuang³ ch'ang³,goang chaang
广告,guǎnggào,kuang³ kao⁴,goang gaw
国际,guójì,kuo² chi⁴,gwo jih
过来,guò lái,kuo⁴ lai²,guoh lai
过年,guò nián,kuo⁴ nien²,guoh nian
过去,guò qù,kuo⁴ ch'ü⁴,guoh chiuh
海,hǎi,hai³,hae
海边,hǎi biān,hai³ pien¹,hae bian
喊,hǎn,han³,haan
好,hǎo,hao³,hao
好多,hǎo duō,hao³ to¹,hao duo
好久,hǎo jiǔ,hao³ chiu³,hao jeou
好人,hǎo rén,hao³ jen²,hao ren
好事,hǎo shì,hao³ shih⁴,hao shyh
好像,hǎoxiàng,hao³ hsiang⁴,hao shianq
合适,héshì,ho² shih⁴,her shyh
河,hé,ho²,her
黑,hēi,hei¹,hei
黑板,hēibǎn,hei¹ pan³,hei baan
黑色,hēi sè,hei¹ se⁴,hei seh
红,hóng,hung²,horng
红色,hóng sè,hung² se⁴,horng seh
后来,hòulái,hou⁴ lai²,how lai
忽然,hūrán,hu¹ jan²,hu ran
湖,hú,hu²,hwu
护照,hùzhào,hu⁴ chao⁴,huh jaw
花,huā,hua¹,hua
花园,huā yuán,hua¹ yüan²,hua yuan
画,huà,hua⁴,huah
画家,huà jiā,hua⁴ chia¹,huah jia
画儿,huàr,hua⁴ r,huah r
坏人,huài rén,huai⁴ jen²,huay ren
欢迎,huānyíng,huan¹ ying²,huan yng
换,huàn,huan⁴,huann
黄,huáng,huang²,hwang
黄色,huáng sè,huang² se⁴,hwang seh
回,huí,hui²,hwei
回国,huí guó,hui² kuo²,hwei gwo
会,huì,hui⁴,huey
活动,huódòng,huo² tung⁴,hwo donq
或,huò,huo⁴,huoh
或者,huòzhě,huo⁴ che³,huoh jee
机会,jīhuì,chi¹ hui⁴,ji huey
鸡,jī,chi¹,ji
级,jí,chi²,jyi
急,jí,chi²,jyi
计划,jìhuà,chi⁴ hua⁴,jih huah
计算机,jì suàn jī,chi⁴ suan⁴ chi¹,jih suann ji
加,jiā,chia¹,jia
加油,jiā yóu,chia¹ yu²,jia you
家,jiā,chia¹,jia
家庭,jiātíng,chia¹ t'ing²,jia tyng
家长,jiā zhǎng,chia¹ chang³,jia jaang
假,jiǎ,chia³,jea
假期,jià qī,chia⁴ ch'i¹,jiah chi
检查,jiǎnchá,chien³ ch'a²,jean char
见到,jiàn dào,chien⁴ tao⁴,jiann daw
见过,jiàn guò,jiànguò,jiànguò
件,jiàn,chien⁴,jiann
健康,jiànkāng,chien⁴ k'ang¹,jiann kang
讲,jiǎng,chiang³,jeang
讲话,jiǎng huà,chiang³ hua⁴,jeang huah
交,jiāo,chiao¹,jiau
交给,jiāo gěi,chiao¹ kei³,jiau geei
交通,jiāotōng,chiao¹ t'ung¹,jiau tong
角,jiǎo,chiao³,jeau
角度,jiǎodù,chiao³ tu⁴,jeau duh
饺子,jiǎozi,chiao³ zi,jeau zi
脚,jiǎo,chiao³,jeau
叫作,jiào zuò,chiao⁴ tso⁴,jiaw tzuoh
教师,jiào shī,chiao⁴ shih¹,jiaw shy
教室,jiàoshì,chiao⁴ shih⁴,jiaw shyh
教育,jiàoyù,chiao⁴ yü⁴,jiaw yuh
接,jiē,chieh¹,jie
接到,jiē dào,chieh¹ tao⁴,jie daw
接受,jiēshòu,chieh¹ shou⁴,jie show
接下来,jiē xià lái,chieh¹ hsia⁴ lai²,jie shiah lai
接着,jiēzhe,chieh¹ zhe,jie zhe
街,jiē,chieh¹,jie
节,jié,chieh²,jye
节目,jiémù,chieh² mu⁴,jye muh
节日,jiérì,chieh² jih⁴,jye ryh
借,jiè,chieh⁴,jieh
斤,jīn,chin¹,jin
今后,jīn hòu,chin¹ hou⁴,jin how
进入,jìn rù,chin⁴ ju⁴,jinn ruh
进行,jìnxíng,chin⁴ hsing²,jinn shyng
近,jìn,chin⁴,jinn
经常,jīngcháng,ching¹ ch'ang²,jing charng
经过,jīngguò,ching¹ kuo⁴,jing guoh
经理,jīnglǐ,ching¹ li³,jing lii
酒,jiǔ,chiu³,jeou
酒店,jiǔ diàn,chiu³ tien⁴,jeou diann
就要,jiù yào,chiu⁴ yao⁴,jiow yaw
举,jǔ,chü³,jeu
举手,jǔ shǒu,chü³ shou³,jeu shoou
举行,jǔxíng,chü³ hsing²,jeu shyng
句,jù,chü⁴,jiuh
句子,jùzi,chü⁴ zi,jiuh zi
卡,kǎ,k'a³,kaa
开机,kāi jī,k'ai¹ chi¹,kai ji
开心,kāixīn,k'ai¹ hsin¹,kai shin
开学,kāi xué,k'ai¹ hsüeh²,kai shyue
看法,kànfǎ,k'an⁴ fa³,kann faa
考生,kǎo shēng,k'ao³ sheng¹,kao sheng
靠,kào,k'ao⁴,kaw
科,kē,k'o¹,ke
科学,kēxué,k'o¹ hsüeh²,ke shyue
可爱,kě’ài,k'o³ ai⁴,kee ay
可能,kěnéng,k'o³ neng²,kee neng
可怕,kěpà,k'o³ p'a⁴,kee pah
可是,kěshì,k'o³ shih⁴,kee shyh
可以,kěyǐ,k'o³ i³,kee yii
克,kè,k'o⁴,keh
刻,kè,k'o⁴,keh
客人,kèrén,k'o⁴ jen²,keh ren
课堂,kè táng,k'o⁴ t'ang²,keh tarng
空气,kōngqì,k'ung¹ ch'i⁴,kong chih
哭,kū,k'u¹,ku
快餐,kuài cān,k'uai⁴ ts'an¹,kuay tsan
快点儿,kuài diǎnr,k'uai⁴ tien³ r,kuay dean r
快乐,kuàilè,k'uai⁴ le⁴,kuay leh
快要,kuài yào,k'uai⁴ yao⁴,kuay yaw
筷子,kuàizi,k'uai⁴ zi,kuay zi
拉,lā,la¹,lha
来自,láizì,lai² tzu⁴,lai tzyh
蓝,lán,lan²,lan
蓝色,lán sè,lan² se⁴,lan seh
篮球,lán qiú,lan² ch'iu²,lan chyou
老,lǎo,lao³,lao
老,lǎo ,lao³,lao
老年,lǎo nián,lao³ nien²,lao nian
离,lí,li²,li
离开,líkāi,li² k'ai¹,li kai
礼物,lǐwù,li³ wu⁴,lii wuh
里头,lǐ tou,li³ tou,lii tou
理想,lǐxiǎng,li³ hsiang³,lii sheang
例如,lìrú,li⁴ ju²,lih ru
例子,lì zi,li⁴ zi,lih zi
脸,liǎn,lien³,lean
练,liàn,lien⁴,liann
练习,liànxí,lien⁴ hsi²,liann shyi
凉,liáng,liang²,liang
凉快,liángkuai,liang² kuai,liang kuai
两,liǎng,liang³,leang
亮,liàng,liang⁴,lianq
辆,liàng,liang⁴,lianq
零下,líng xià,ling² hsia⁴,ling shiah
留,liú,liu²,liou
留下,liú xià,liu² hsia⁴,liou shiah
留学生,liú xué shēng,liu² hsüeh² sheng¹,liou shyue sheng
流,liú,liu²,liou
流利,liúlì,liu² li⁴,liou lih
流行,liúxíng,liu² hsing²,liou shyng
路边,lù biān,lu⁴ pien¹,luh bian
卖,mài,mai⁴,may
满,mǎn,man³,maan
满意,mǎnyì,man³ i⁴,maan yih
猫,māo,mao¹,mhau
米,mǐ,mi³,mii
面前,miàn qián,mien⁴ ch'ien²,miann chyan
名,míng,ming²,ming
名称,míng chēng,ming² ch'eng¹,ming cheng
名单,míng dān,ming² tan¹,ming dan
明星,míngxīng,ming² hsing¹,ming shing
目的,mùdì,mu⁴ ti⁴,muh dih
拿出,ná chū,na² ch'u¹,na chu
拿到,ná dào,na² tao⁴,na daw
那会儿,nà huìr,na⁴ hui⁴ r,nah huey r
那么,nà me,na⁴ me,nah me
那时候,nà shí hou,na⁴ shih² hou,nah shyr hou
那样,nà yàng,na⁴ yang⁴,nah yanq
南方,nán fāng,nan² fang¹,nan fang
难过,nánguò,nan² kuo⁴,nan guoh
难看,nán kàn,nan² k'an⁴,nan kann
难受,nánshòu,nan² shou⁴,nan show
难题,nán tí,nan² t'i²,nan tyi
难听,nán tīng,nan² t'ing¹,nan ting
能够,néng gòu,neng² kou⁴,neng gow
年级,niánjí,nien² chi²,nian jyi
年轻,niánqīng,nien² ch'ing¹,nian ching
努力,nǔlì,nu³ li⁴,nuu lih
爬,pá,p'a²,par
爬山,páshān,p'a² shan¹,par shan
怕,pà,p'a⁴,pah
排,pái,p'ai²,pair
排队,páiduì,p'ai² tui⁴,pair duey
排球,pái qiú,p'ai² ch'iu²,pair chyou
碰,pèng,p'eng⁴,penq
碰到,pèng dào,p'eng⁴ tao⁴,penq daw
碰见,pèng jiàn,p'eng⁴ chien⁴,penq jiann
篇,piān,p'ien¹,pian
片,piàn,p'ien⁴,piann
漂亮,piàoliang,p'iao⁴ liang,piaw liang
平,píng,p'ing²,pyng
平安,píng’ān,p'ing² an¹,pyng an
平常,píngcháng,p'ing² ch'ang²,pyng charng
平等,píngděng,p'ing² teng³,pyng deeng
平时,píngshí,p'ing² shih²,pyng shyr
瓶,píng,p'ing²,pyng
瓶子,píngzi,p'ing² zi,pyng zi
普通,pǔ tōng,p'u³ t'ung¹,puu tong
普通话,pǔtōnghuà,p'u³ t'ung¹ hua⁴,puu tong huah
其他,qítā,ch'i² t'a¹,chyi ta
其中,qízhōng,ch'i² chung¹,chyi jong
骑,qí,ch'i²,chyi
骑车,qí chē,ch'i² ch'e¹,chyi che
起飞,qǐfēi,ch'i³ fei¹,chii fei
气,qì,ch'i⁴,chih
气温,qì wēn,ch'i⁴ wen¹,chih uen
千,qiān,ch'ien¹,chian
千克,qiān kè,ch'ien¹ k'o⁴,chian keh
前年,qián nián,ch'ien² nien²,chyan nian
墙,qiáng,ch'iang²,chyang
青年,qīng nián,ch'ing¹ nien²,ching nian
青少年,qīngshàonián,ch'ing¹ shao⁴ nien²,ching shaw nian
轻,qīng,ch'ing¹,ching
清楚,qīngchu,ch'ing¹ chu,ching chu
晴,qíng,ch'ing²,chyng
晴天,qíng tiān,ch'ing² t'ien¹,chyng tian
请客,qǐng kè,ch'ing³ k'o⁴,chiing keh
请求,qǐngqiú,ch'ing³ ch'iu²,chiing chyou
秋天,qiū tiān,ch'iu¹ t'ien¹,chiou tian
求,qiú,ch'iu²,chyou
球场,qiú chǎng,ch'iu² ch'ang³,chyou chaang
球队,qiú duì,ch'iu² tui⁴,chyou duey
球鞋,qiú xié,ch'iu² hsieh²,chyou shye
取,qǔ,ch'ü³,cheu
取得,qǔ dé,ch'ü³ te²,cheu der
全,quán,ch'üan²,chyuan
全部,quánbù,ch'üan² pu⁴,chyuan buh
全国,quán guó,ch'üan² kuo²,chyuan gwo
全家,quán jiā,ch'üan² chia¹,chyuan jia
全年,quán nián,ch'üan² nien²,chyuan nian
全身,quán shēn,ch'üan² shen¹,chyuan shen
全体,quán tǐ,ch'üan² t'i³,chyuan tii
然后,ránhòu,jan² hou⁴,ran how
让,ràng,jang⁴,ranq
热情,rèqíng,je⁴ ch'ing²,reh chyng
人口,rénkǒu,jen² k'ou³,ren koou
人们,rén men,jen² men,ren men
人数,rén shù,jen² shu⁴,ren shuh
认为,rènwéi,jen⁴ wei²,renn wei
日报,rì bào,jih⁴ pao⁴,ryh baw
日子,rìzi,jih⁴ zi,ryh zi
如果,rúguǒ,ju² kuo³,ru guoo
入口,rùkǒu,ju⁴ k'ou³,ruh koou
商量,shāngliang,shang¹ liang,shang liang
商人,shāng rén,shang¹ jen²,shang ren
上周,shàng zhōu,shang⁴ chou¹,shanq jou
少数,shǎo shù,shao³ shu⁴,shao shuh
少年,shào nián,shao⁴ nien²,shaw nian
身边,shēn biān,shen¹ pien¹,shen bian
什么样,shén me yàng,shen² me yang⁴,shern me yanq
生,shēng,sheng¹,sheng
生词,shēng cí,sheng¹ tz'u²,sheng tsyr
生活,shēnghuó,sheng¹ huo²,sheng hwo
声音,shēngyīn,sheng¹ yin¹,sheng in
省,shěng,sheng³,sheeng
省,shěng,sheng³,sheeng
十分,shífēn,shih² fen¹,shyr fen
实际,shíjì,shih² chi⁴,shyr jih
实习,shíxí,shih² hsi²,shyr shyi
实现,shíxiàn,shih² hsien⁴,shyr shiann
实在,shízài,shih² tsai⁴,shyr tzay
食物,shíwù,shih² wu⁴,shyr wuh
使用,shǐyòng,shih³ yung⁴,shyy yonq
市,shì,shih⁴,shyh
市长,shì zhǎng,shih⁴ chang³,shyh jaang
事情,shìqing,shih⁴ qing,shyh qing
收,shōu,shou¹,shou
收到,shōu dào,shou¹ tao⁴,shou daw
收入,shōurù,shou¹ ju⁴,shou ruh
手表,shǒubiǎo,shou³ piao³,shoou beau
受到,shòudào,shou⁴ tao⁴,show daw
舒服,shūfu,shu¹ fu,shu fu
熟,shú,shu²,shwu
数,shǔ,shu³,shuu
数字,shùzì,shu⁴ tzu⁴,shuh tzyh
水平,shuǐpíng,shui³ p'ing²,shoei pyng
顺利,shùnlì,shun⁴ li⁴,shuenn lih
说明,shuōmíng,shuo¹ ming²,shuo ming
司机,sījī,ssu¹ chi¹,sy ji
送到,sòng dào,sung⁴ tao⁴,sonq daw
送给,sòng gěi,sung⁴ kei³,sonq geei
算,suàn,suan⁴,suann
虽然,suī rán,sui¹ jan²,suei ran
随便,suíbiàn,sui² pien⁴,swei biann
随时,suíshí,sui² shih²,swei shyr
所以,suǒ yǐ,so³ i³,suoo yii
所有,suǒyǒu,so³ yu³,suoo yeou
它,tā,t'a¹,ta
它们,tā men,t'a¹ men,ta men
太太,tàitai,t'ai⁴ tai,tay tai
态度,tàidu,t'ai⁴ du,tay du
讨论,tǎolùn,t'ao³ lun⁴,tao luenn
套,tào,t'ao⁴,taw
特别,tèbié,t'e⁴ pieh²,teh bye
特点,tèdiǎn,t'e⁴ tien³,teh dean
疼,téng,t'eng²,terng
提,tí,t'i²,tyi
提出,tí chū,t'i² ch'u¹,tyi chu
提到,tí dào,t'i² tao⁴,tyi daw
提高,tígāo,t'i² kao¹,tyi gau
题,tí,t'i²,tyi
体育,tǐyù,t'i³ yü⁴,tii yuh
体育场,tǐ yù chǎng,t'i³ yü⁴ ch'ang³,tii yuh chaang
体育馆,tǐ yù guǎn,t'i³ yü⁴ kuan³,tii yuh goan
天上,tiān shàng,t'ien¹ shang⁴,tian shanq
条,tiáo,t'iao²,tyau
条件,tiáojiàn,t'iao² chien⁴,tyau jiann
听讲,tīng jiǎng,t'ing¹ chiang³,ting jeang
听说,tīng shuō,t'ing¹ shuo¹,ting shuo
停,tíng,t'ing²,tyng
停车,tíng chē,t'ing² ch'e¹,tyng che
停车场,tíng chē chǎng,t'ing² ch'e¹ ch'ang³,tyng che chaang
挺,tǐng,t'ing³,tiing
挺好,tǐng hǎo,t'ing³ hao³,tiing hao
通,tōng,t'ung¹,tong
通过,tōngguò,t'ung¹ kuo⁴,tong guoh
通知,tōngzhī,t'ung¹ chih¹,tong jy
同时,tóngshí,t'ung² shih²,torng shyr
同事,tóngshì,t'ung² shih⁴,torng shyh
同样,tóng yàng,t'ung² yang⁴,torng yanq
头,tóu,t'ou²,tour
头,tóu,t'ou²,tour
头发,tóufa,t'ou² fa,tour fa
图片,tú piàn,t'u² p'ien⁴,twu piann
推,tuī,t'ui¹,tuei
腿,tuǐ,t'ui³,toei
外地,wài dì,wai⁴ ti⁴,way dih
外卖,wài mài,wai⁴ mai⁴,way may
完,wán,wan²,wan
完成,wánchéng,wan² ch'eng²,wan cherng
完全,wánquán,wan² ch'üan²,wan chyuan
晚安,wǎn ān,wan³ an¹,woan an
晚报,wǎn bào,wan³ pao⁴,woan baw
晚餐,wǎn cān,wan³ ts'an¹,woan tsan
晚会,wǎn huì,wan³ hui⁴,woan huey
碗,wǎn,wan³,woan
网,wǎng,wang³,woang
网球,wǎngqiú,wang³ ch'iu²,woang chyou
网站,wǎngzhàn,wang³ chan⁴,woang jann
往,wǎng,wang³,woang
为,wèi,wei⁴,wey
为什么,wèishénme,wei⁴ shen² me,wey shern me
位,wèi,wei⁴,wey
喂,wèi,wei⁴,wey
温度,wēndù,wen¹ tu⁴,uen duh
闻,wén,wen²,wen
问路,wèn lù,wen⁴ lu⁴,wenn luh
问题,wèntí,wen⁴ t'i²,wenn tyi
午餐,wǔ cān,wu³ ts'an¹,wuu tsan
午睡,wǔ shuì,wu³ shui⁴,wuu shuey
西北,xī běi,hsi¹ pei³,shi beei
西餐,xī cān,hsi¹ ts'an¹,shi tsan
西方,xī fāng,hsi¹ fang¹,shi fang
西南,xī nán,hsi¹ nan²,shi nan
西医,xī yī,hsi¹ i¹,shi i
习惯,xíguàn,hsi² kuan⁴,shyi guann
洗衣机,xǐ yī jī,hsi³ i¹ chi¹,shii i ji
洗澡,xǐzǎo,hsi³ tsao³,shii tzao
下,xià,hsia⁴,shiah
下雪,xià xuě,hsia⁴ hsüeh³,shiah sheue
下周,xià zhōu,hsia⁴ chou¹,shiah jou
夏天,xià tiān,hsia⁴ t'ien¹,shiah tian
相同,xiāngtóng,hsiang¹ t'ung²,shiang torng
相信,xiāngxìn,hsiang¹ hsin⁴,shiang shinn
响,xiǎng,hsiang³,sheang
想到,xiǎng dào,hsiang³ tao⁴,sheang daw
想法,xiǎng fǎ,hsiang³ fa³,sheang faa
想起,xiǎng qǐ,hsiang³ ch'i³,sheang chii
向,xiàng,hsiang⁴,shianq
相机,xiàng jī,hsiang⁴ chi¹,shianq ji
像,xiàng,hsiang⁴,shianq
小,xiǎo ,hsiao³,sheau
小声,xiǎo shēng,hsiao³ sheng¹,sheau sheng
小时候,xiǎo shí hou,hsiao³ shih² hou,sheau shyr hou
小说,xiǎoshuō,hsiao³ shuo¹,sheau shuo
小心,xiǎoxīn,hsiao³ hsin¹,sheau shin
小组,xiǎo zǔ,hsiao³ tsu³,sheau tzuu
校园,xiào yuán,hsiao⁴ yüan²,shiaw yuan
校长,xiàozhǎng,hsiao⁴ chang³,shiaw jaang
笑话,xiàohua,hsiao⁴ hua,shiaw hua
鞋,xié,hsieh²,shye
心里,xīn lǐ,hsin¹ li³,shin lii
心情,xīnqíng,hsin¹ ch'ing²,shin chyng
心中,xīn zhōng,hsin¹ chung¹,shin jong
新闻,xīnwén,hsin¹ wen²,shin wen
信,xìn,hsin⁴,shinn
信号,xìnhào,hsin⁴ hao⁴,shinn haw
信息,xìnxī,hsin⁴ hsi¹,shinn shi
信心,xìnxīn,hsin⁴ hsin¹,shinn shin
信用卡,xìnyòngkǎ,hsin⁴ yung⁴ k'a³,shinn yonq kaa
星星,xīng xing,hsing¹ xing,shing xing
行动,xíngdòng,hsing² tung⁴,shyng donq
行人,xíngrén,hsing² jen²,shyng ren
行为,xíngwéi,hsing² wei²,shyng wei
姓,xìng,hsing⁴,shinq
姓名,xìng míng,hsing⁴ ming²,shinq ming
休假,xiū jià,hsiu¹ chia⁴,shiou jiah
许多,xǔduō,hsü³ to¹,sheu duo
选,xuǎn,hsüan³,sheuan
学期,xuéqī,hsüeh² ch'i¹,shyue chi
雪,xuě,hsüeh³,sheue
颜色,yánsè,yan² se⁴,yan seh
眼,yǎn,yan³,yean
眼睛,yǎnjing,yan³ jing,yean jing
养,yǎng,yang³,yeang
样子,yàngzi,yang⁴ zi,yanq zi
要求,yāoqiú,yao¹ ch'iu²,iau chyou
药,yào,yao⁴,yaw
药店,yào diàn,yao⁴ tien⁴,yaw diann
药片,yào piàn,yao⁴ p'ien⁴,yaw piann
药水,yào shuǐ,yao⁴ shui³,yaw shoei
也许,yěxǔ,yeh³ hsü³,yee sheu
夜,yè,yeh⁴,yeh
已经,yǐjīng,i³ ching¹,yii jing
以后,yǐ hòu,i³ hou⁴,yii how
以前,yǐqián,i³ ch'ien²,yii chyan
以上,yǐ shàng,i³ shang⁴,yii shanq
以外,yǐ wài,i³ wai⁴,yii way
以为,yǐwéi,i³ wei²,yii wei
以下,yǐ xià,i³ hsia⁴,yii shiah
椅子,yǐzi,i³ zi,yii zi
亿,yì,i⁴,yih
意见,yìjiàn,i⁴ chien⁴,yih jiann
意思,yìsi,i⁴ si,yih si
因为,yīn wèi,yin¹ wei⁴,in wey
阴,yīn,yin¹,in
阴天,yīn tiān,yin¹ t'ien¹,in tian
音节,yīn jié,yin¹ chieh²,in jye
音乐,yīnyuè,yin¹ yüeh⁴,in yueh
音乐会,yīn yuè huì,yin¹ yüeh⁴ hui⁴,in yueh huey
银行,yínháng,yin² hang²,yn harng
银行卡,yín háng kǎ,yin² hang² k'a³,yn harng kaa
应该,yīnggāi,ying¹ kai¹,ing gai
英文,yīng wén,ying¹ wen²,ing wen
英语,yīng yǔ,ying¹ yü³,ing yeu
影片,yǐng piàn,ying³ p'ien⁴,yiing piann
影响,yǐngxiǎng,ying³ hsiang³,yiing sheang
永远,yǒngyuǎn,yung³ yüan³,yeong yeuan
油,yóu,yu²,you
游客,yóu kè,yu² k'o⁴,you keh
友好,yǒuhǎo,yu³ hao³,yeou hao
有人,yǒu rén,yu³ jen²,yeou ren
有点儿,yǒu  diǎnr,yu³ tien³ r,yeou dean r
有意思,yǒu yì si,yu³ i⁴ si,yeou yih si
又,yòu,yu⁴,yow
鱼,yú,yü²,yu
语言,yǔyán,yü³ yan²,yeu yan
原来,yuánlái,yüan² lai²,yuan lai
原因,yuányīn,yüan² yin¹,yuan in
院,yuàn,yüan⁴,yuann
院长,yuàn zhǎng,yüan⁴ chang³,yuann jaang
院子,yuàn zi,yüan⁴ zi,yuann zi
愿意,yuànyì,yüan⁴ i⁴,yuann yih
月份,yuè fèn,yüeh⁴ fen⁴,yueh fenn
月亮,yuèliang,yüeh⁴ liang,yueh liang
越,yuè,yüeh⁴,yueh
越来越,yuè lái yuè,yüeh⁴ lai² yüeh⁴,yueh lai yueh
云,yún,yün²,yun
